id,domain,complexity,question,gold_answer,expected_citations,expected_keywords
Q1,FSMA,basic,What is the ‘general prohibition’ in UK financial services?,The FSMA 2000 ‘general prohibition’ makes it an offence to carry on a regulated activity in the UK unless authorised or exempt.,FSMA 2000 s.19 | RAO 2001 art.5,general prohibition|regulated activity|authorised|exempt
Q2,COMP,basic,What is the FSCS deposit protection limit per individual?,"£85,000 per person per firm for eligible deposits.",COMP 10.2,"FSCS|£85,000|deposit protection"
Q3,COBS,basic,What standard applies to financial promotions in the UK?,"Financial promotions must be fair, clear and not misleading.",COBS 4.2.1R,financial promotion|fair|clear|misleading
Q4,ICOBS,basic,How many days does a consumer have to cancel a general insurance policy?,Consumers have 14 days to cancel most non-investment insurance contracts.,ICOBS 7,cancellation|cooling off|14 days|insurance
Q5,PSR,basic,What is the maximum liability for an unauthorised payment transaction?,The payer’s liability is limited to £35 unless the payer acted fraudulently or with gross negligence.,PSR 2017 reg.77,unauthorised|payment|£35|liability
Q6,MLR,basic,What is CDD under the Money Laundering Regulations 2017?,Customer due diligence requires firms to identify and verify customers and obtain information on purpose of business.,MLR 2017 reg.27,CDD|customer due diligence|verify|identify
Q7,RAO,basic,Give one example of a regulated activity under RAO 2001.,Advising on investments is a regulated activity.,RAO 2001 art.53,regulated activity|advising|investments
Q8,UK MAR,basic,What must issuers maintain regarding inside information?,Issuers must maintain and update insider lists and provide them to the FCA on request.,UK MAR art.18 | DTR 2,insider list|issuer|FCA
Q9,PRIN,basic,Which FCA principle introduces the Consumer Duty?,"The Consumer Duty is Principle 12, requiring firms to act to deliver good outcomes for retail customers.",PRIN 12,Consumer Duty|good outcomes|Principle 12
Q10,DISP,basic,How long do firms have to issue a final response to a complaint?,Firms must issue a final response within 8 weeks or a holding response with FOS rights.,DISP 1.6,complaint|final response|8 weeks|ombudsman
Q11,FSMA,basic,Sample basic question 11 for FSMA?,"Gold-standard answer for FSMA, basic level.",FSMA 2000 s.19,regulated activity|authorised|exempt
Q12,COMP,basic,Sample basic question 12 for COMP?,"Gold-standard answer for COMP, basic level.",COMP 10.2,"FSCS|£85,000|deposit protection"
Q13,COBS,basic,Sample basic question 13 for COBS?,"Gold-standard answer for COBS, basic level.",COBS 4.2.1R,financial promotion|clear|misleading
Q14,ICOBS,basic,Sample basic question 14 for ICOBS?,"Gold-standard answer for ICOBS, basic level.",ICOBS 7,insurance|cooling off|cancellation
Q15,PSR,basic,Sample basic question 15 for PSR?,"Gold-standard answer for PSR, basic level.",PSR 2017 reg.77,unauthorised payment|liability|refund
Q16,MLR,basic,Sample basic question 16 for MLR?,"Gold-standard answer for MLR, basic level.",MLR 2017 reg.27,CDD|EDD|due diligence
Q17,RAO,basic,Sample basic question 17 for RAO?,"Gold-standard answer for RAO, basic level.",RAO 2001 art.25,regulated activity|arranging|advising
Q18,UK MAR,basic,Sample basic question 18 for UK MAR?,"Gold-standard answer for UK MAR, basic level.",UK MAR art.17,inside information|disclosure|issuer
Q19,PRIN,basic,Sample basic question 19 for PRIN?,"Gold-standard answer for PRIN, basic level.",PRIN 12,Consumer Duty|fair value|good outcomes
Q20,DISP,basic,Sample basic question 20 for DISP?,"Gold-standard answer for DISP, basic level.",DISP 1.6,complaint|ombudsman|final response
